Report Number,Question Number,Time (Seconds)
1,1,9.31
1,2,6.42
1,3,8.82
1,4,15.99
1,5,9.65
1,6,10.12
1,7,6.95
1,8,7.95
1,9,11.78
1,10,9.35
2,1,7.04
2,2,10.75
2,3,12.08
2,4,11.46
2,5,11.79
2,6,8.83
2,7,12.79
2,8,11.25
2,9,12.88
2,10,16.29
3,1,8.23
3,2,12.95
3,3,10.53
3,4,11.85
3,5,9.63
3,6,10.56
3,7,7.85
3,8,15.95
3,9,11.79
3,10,12.76
4,1,9.37
4,2,14.18
4,3,10.31
4,4,12.37
4,5,7.45
4,6,7.10
4,7,10.61
4,8,13.56
4,9,11.82
4,10,12.97
5,1,11.07
5,2,11.87
5,3,15.11
5,4,15.26
5,5,11.11
5,6,15.51
5,7,9.71
5,8,11.71
5,9,9.76
5,10,13.26
6,1,8.46
6,2,13.02
6,3,15.22
6,4,13.04
6,5,18.25
6,6,11.52
6,7,8.95
6,8,11.39
6,9,13.91
6,10,16.82
7,1,14.28
7,2,12.84
7,3,17.83
7,4,15.29
7,5,13.56
7,6,12.46
7,7,14.00
7,8,17.68
7,9,14.85
7,10,18.32
8,1,12.25
8,2,12.57
8,3,16.51
8,4,19.52
8,5,15.03
8,6,14.94
8,7,13.88
8,8,15.73
8,9,15.14
8,10,15.42
9,1,12.38
9,2,18.99
9,3,14.33
9,4,13.50
9,5,9.29
9,6,10.72
9,7,13.25
9,8,16.97
9,9,19.89
9,10,20.50
10,1,20.28
10,2,15.95
10,3,14.83
10,4,17.38
10,5,19.15
10,6,16.45
10,7,12.07
10,8,24.55
10,9,18.57
10,10,30.65
